VulnerabilityID,Severity,PkgName,InstalledVersion,Title,Description,CVSS,Status,Target,PrimaryURL
CVE-2011-3374,LOW,apt,2.6.1,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle a...",3.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-3374
TEMP-0841856-B18BAF,LOW,bash,5.2.15-2+b7,[Privilege escalation possible to other user than root],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF
CVE-2022-0563,LOW,bsdutils,1:2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2016-2781,LOW,coreutils,9.1-1,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes ...",6.5,will_not_fix,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2016-2781
CVE-2017-18018,LOW,coreutils,9.1-1,coreutils: race condition vulnerability in chown and chgrp,"In GNU Coreutils through 8.29, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX ""-R...",4.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2017-18018
CVE-2022-27943,LOW,gcc-12-base,12.2.0-14,binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-27943
CVE-2023-4039,LOW,gcc-12-base,12.2.0-14,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
...",4.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2022-3219,LOW,gpgv,2.2.40-1.1,gnupg: denial of service issue (resource consumption) using compressed packets,"GnuPG can be made to spin on a relatively small input by (for example) crafting a public key with thousands of signatures attached, compressed down to...",3.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2011-3374,LOW,libapt-pkg6.0,2.6.1,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle a...",3.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-3374
CVE-2022-0563,LOW,libblkid1,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
